start_time,close,date,high,low,open,volume
1568332800000,10346.06266448,2019-09-13,11772.70639199,8294.32313919,10424.44072774,47669.14996639879
1568419200000,10338.13912683,2019-09-14,10477.2798573,10240.34649649,10368.47011351,34125.967669624995
1568505600000,10304.4137612,2019-09-15,10396.67581554,10256.22733238,10353.12404328,24520.848275723813
1568592000000,10270.29514795,2019-09-16,10390.33188991,10033.84447992,10317.98811049,47708.87545631709
1568678400000,10200.10410618,2019-09-17,10304.08811886,10128.51026006,10255.63303464,35946.78690283267
1568764800000,10157.26703873,2019-09-18,10280.51281281,10009.70028016,10191.98001973,38547.870251715336
1568851200000,10251.64316127,2019-09-19,10400.75280196,9626.25389038,10178.23179091,81271.00632550471
1568937600000,10168.68051644,2019-09-20,10324.24961811,10069.32582135,10284.75090817,38795.681623057775
1569024000000,9984.10265028,2019-09-21,10197.83948681,9918.81422838,10164.33689483,31611.518198653877
1569110400000,10037.49650611,2019-09-22,10089.40188403,9854.96898335,9996.30764581,34211.85476747673
1569196800000,9696.7269199,2019-09-23,10063.48643136,9613.64762993,10042.89975296,56118.34812393848
1569283200000,8527.47428992,2019-09-24,9790.67497453,7962.06549708,9693.96068123,200433.30169996063
1569369600000,8438.04280141,2019-09-25,8757.13436951,8101.48138161,8529.60644298,113684.97785187927
1569456000000,8066.26719696,2019-09-26,8473.74478567,7749.03778799,8437.00586042,131588.7244334237
1569542400000,8181.87826304,2019-09-27,8288.70092546,7867.53760821,8063.6626115,78264.09458409385
1569628800000,8219.2030111,2019-09-28,8365.55413313,8024.17432455,8183.77915085,56078.49879167674
1569715200000,8060.28604706,2019-09-29,8248.0612197,7911.03829353,8221.80701843,51866.862052856566
1569801600000,8312.6056727,2019-09-30,8380.20718389,7722.1435504,8062.91430906,94862.1203063958
1569888000000,8310.04481087,2019-10-01,8526.11128438,8188.60752389,8312.36949925,99304.69059621736
1569974400000,8393.58565559,2019-10-02,8410.8800321,8161.91016626,8312.86182811,55927.68090466025
1570060800000,8242.23667428,2019-10-03,8426.34041164,8072.86035962,8389.76178812,65853.44423669716
1570147200000,8145.42887306,2019-10-04,8256.20192878,8008.37394868,8233.743049,59077.711227873704
1570233600000,8134.88309561,2019-10-05,8212.1639548,8016.28478071,8145.22482748,41767.64838881541
1570320000000,7861.11965317,2019-10-06,8168.58734983,7797.94153353,8142.5810045,79722.65858671132
1570406400000,8211.19196249,2019-10-07,8336.46846219,7778.63832228,7858.966437,107561.05134958409
1570492800000,8169.97329348,2019-10-08,8354.39370136,8108.39359825,8218.77956175,65410.884003429725
1570579200000,8584.02825674,2019-10-09,8700.47830937,8115.55356743,8173.37676359,123292.99772273828
1570665600000,8569.17063909,2019-10-10,8667.81720821,8451.68333933,8598.27702179,79686.99938857355
